1|Seema|Killeen|Shens|Arden|Windsor.Varpaaniemi@rwth-aachen.de
2|Vesselin|Memphis|Boyan|Boehm|Giao.Nishizaki@
3|Yusuke|Evansville|Ruogu|Mashey|Jianna.Spielman@msn.com
4|Bella|Istanbul|Qi|Mezei|Ounissa.Silip
5|Gadi|Munich|Chenye|Dinesh|Alistair.Maybank@cas.cz
6|Karpjoo|Norfolk|Aneurin|Schirra|Audrey.Starovic@lante.com
7|Kazuhisa|Puerto|Diomidis|Bertsekas|Bertjan.Spenke@uga.ed
8|Takehiko|Newburgh|Hanpei|Ayoubi|Haym.Kubela@purdue.edu
9|Puneet|Rapid|Somkiat|Rodding|Tomoyoshi.Plat@ask.com
10|Adegbeniga|Brussels|Branka|Deville|Eliot.Ilarraza@unizh.ch
